! CMS 13 TeV jets, 35.1 fb-1
!
!
&Data
  Name = 'CMS inclusive jets 13 TeV,  0.5 < y < 1.0'
  Reaction = 'pp jets fastNLO'

  NDATA = 116
  NColumn = 59
  ColumnType = 'Flag', 'Bin', 'Bin', 'Bin', 'Bin', 'Sigma', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 'Error', 46*'Error'
  ColumnName =  'binFlag',  'ylow',  'yhigh',  'pTlow',  'pThigh',       'Sigma',         'stat',      'uncor',  'nperr+',  'nperr-',  'lumi',  'unf_err+',  'unf_err-',  'AbsoluteMPFBias+',  'AbsoluteMPFBias-',  'AbsoluteScale+',  'AbsoluteScale-',   'AbsoluteStat+',    'AbsoluteStat-',    'FlavorQCD+',     'FlavorQCD-',   'Fragmentation+',  'Fragmentation-',  'PileUpDataMC+',  'PileUpDataMC-',   'PileUpPtBB+',    'PileUpPtBB-',  'PileUpPtEC1+',  'PileUpPtEC1-',  'PileUpPtEC2+',  'PileUpPtEC2-', 'PileUpPtRef+',   'PileUpPtRef-',   'RelativeBal+',  'RelativeBal-',   'RelativeFSR+',   'RelativeFSR-',  'RelativeJEREC1+',  'RelativeJEREC1-',  'RelativeJEREC2+',  'RelativeJEREC2-', 'RelativePtBB+',  'RelativePtBB-',  'RelativePtEC1+',  'RelativePtEC1-',  'RelativePtEC2+',  'RelativePtEC2-', 'RelativeStatEC+',  'RelativeStatEC-',  'RelativeStatFSR+',  'RelativeStatFSR-',  'SinglePionECAL+',  'SinglePionECAL-',  'SinglePionHCAL+',  'SinglePionHCAL-',   'TimePtEta+',     'TimePtEta-',    'RelativeSample+',  'RelativeSample-' 
  NInfo = 4
  DataInfo = 13000., 1., -1., -1.
  CInfo = 'sqrt(S)', 'PublicationUnits', 'MurDef', 'MufDef'

  IndexDataset = 302
  TheoryType = 'expression'
  TermName = 'F','kF','NP','EW'
  TermType = 'fastnlo','kfactor','kfactor','kfactor'
  TermSource = 'datafiles/lhc/cms/jets/13TeV/InclusiveNJets_fnl5362h_v23_fix.tab',
               'datafiles/lhc/cms/jets/13TeV/kFactorNNLO_ak4_pt.dat',
               'datafiles/lhc/cms/jets/13TeV/NPak4.dat',
               'datafiles/lhc/cms/jets/13TeV/ewkcorr.dat'
  TheorExpr = 'F*kF*NP*EW'
  Percent = 53*True
&End
&PlotDesc
   PlotN = 1
   PlotDefColumn = 'ylow'
   PlotDefValue = 0.25, 0.75
   PlotVarColumn = 'pTlow'
   PlotOptions(1) = 'Experiment:CMS@Title: 0.5 < y < 1.0  @XTitle:P_{T} (GeV)@YTitle:#sigma_{jet}@Xmin:70@Xmax:3200.@Xlog@Ylog'
&End
* 'Flag',  'ylow',  'yhigh',  'pTlow',  'pThigh',       'Sigma',         'stat',      'uncor',  'nperr+',    'nperr-',   'lumi',    'unf_err+',      'unf_err-',    'AbsoluteMPFBias+',  'AbsoluteMPFBias-',  'AbsoluteScale+',  'AbsoluteScale-',  'AbsoluteStat+',  'AbsoluteStat-',   'FlavorQCD+',     'FlavorQCD-',    'Fragmentation+',  'Fragmentation-',   'PileUpDataMC+',  'PileUpDataMC-',   'PileUpPtBB+',    'PileUpPtBB-',   'PileUpPtEC1+',  'PileUpPtEC1-',  'PileUpPtEC2+',  'PileUpPtEC2-',
* 'PileUpPtRef+',   'PileUpPtRef-',   'RelativeBal+',  'RelativeBal-',  'RelativeFSR+',  'RelativeFSR-',  'RelativeJEREC1+',  'RelativeJEREC1-',  'RelativeJEREC2LL+',  'RelativeJEREC2LL-',  'RelativePtBB+',  'RelativePtBB-',  'RelativePtEC1+',  'RelativePtEC1-',  'RelativePtEC2+',  'RelativePtEC2-',  'RelativeStatEC+',  'RelativeStatEC-',  'RelativeStatFSR+',  'RelativeStatFSR-',  'SinglePionECAL+',  'SinglePionECAL-',  'SinglePionHCAL+',  'SinglePionHCAL-',  'TimePtEta+',  'TimePtEta-',   'RelativeSample+',  'RelativeSample-' 
    0       0.0      0.5       56.0      74.0      9017.11937727    0.225696435429    1.0     0.09955205  -0.09955205    2.6     0.190434693139   0.190434693139      1.0119597632        -1.01829411137      0.608270841153    -0.598036917932         0.0               0.0          3.14369785408     -3.0751027574      0.209492466891    -0.205562537953     0.625806440561   -0.571310339432   0.0321597449242   -0.0297123336993        0.0              0.0              0.0              0.0         0.188614173607   -0.179369849767    0.639089859104  -0.627234205059   -1.10749703809   1.12942865989          0.0                 0.0                 0.0                 0.0          -0.145152622856    0.144867486761          0.0                0.0                0.0                0.0                0.0                 0.0            0.0706525514347      -0.0632157828544    -0.347263539207      0.359894239988     -0.0776219201874    0.0853595187133    1.27521066506  -1.30216394858    1.17673044713       -1.16709275481  
    0       0.0      0.5       74.0      97.0      9017.11937727    0.225696435429    1.0     0.09955205  -0.09955205    2.6     0.190434693139   0.190434693139      1.0119597632        -1.01829411137      0.608270841153    -0.598036917932         0.0               0.0          3.14369785408     -3.0751027574      0.209492466891    -0.205562537953     0.625806440561   -0.571310339432   0.0321597449242   -0.0297123336993        0.0              0.0              0.0              0.0         0.188614173607   -0.179369849767    0.639089859104  -0.627234205059   -1.10749703809   1.12942865989          0.0                 0.0                 0.0                 0.0          -0.145152622856    0.144867486761          0.0                0.0                0.0                0.0                0.0                 0.0            0.0706525514347      -0.0632157828544    -0.347263539207      0.359894239988     -0.0776219201874    0.0853595187133    1.27521066506  -1.30216394858    1.17673044713       -1.16709275481  
    0       0.0      0.5       97.0      133.0      9017.11937727    0.225696435429    1.0     0.0993049     -0.19861     2.6    1.25358507855    -1.20916519571      1.0119597632        -1.01829411137      0.608270841153    -0.598036917932         0.0               0.0          3.14369785408     -3.0751027574      0.209492466891    -0.205562537953     0.625806440561   -0.571310339432   0.0321597449242   -0.0297123336993        0.0              0.0              0.0              0.0         0.188614173607   -0.179369849767    0.639089859104  -0.627234205059   -1.10749703809   1.12942865989          0.0                 0.0                 0.0                 0.0          -0.145152622856    0.144867486761          0.0                0.0                0.0                0.0                0.0                 0.0            0.0706525514347      -0.0632157828544    -0.347263539207      0.359894239988     -0.0776219201874    0.0853595187133    1.27521066506  -1.30216394858    1.17673044713       -1.16709275481  
    0       0.0      0.5      133.0      174.0      2180.09038608    0.331981823594    1.0     0.09955205  -0.09955205    2.6    0.621800805696  -0.674707920579     1.28468393944        -1.16240006853      0.780766473357    -0.706841002431         0.0               0.0          3.01094151087     -2.78913282354     0.21273623793     -0.204492121609     0.602249513299   -0.609145027894    0.138297472784   -0.141339752421         0.0              0.0              0.0              0.0         0.128606348255    -0.13790713741    0.828968907632  -0.739331899238   -1.00810744501   1.10367857523          0.0                 0.0                 0.0                 0.0          -0.0227671030793  0.0339192872703          0.0                0.0                0.0                0.0                0.0                 0.0            0.0860473817911      -0.0978978457447    -0.200243263085      0.195390479838     -0.102729415638     0.0971753364425    1.72465642928  -1.58832533669     1.2724804843       -1.16397010737  
    0       0.0      0.5      174.0      220.0      598.618801981    0.263402902303    1.0     0.09985025  -0.04995005    2.6    1.46171549724    -1.44950153351     1.09937458616        -1.24718320215      0.686942810609    -0.752936670953         0.0               0.0          2.29222962068     -2.45880530998    0.0971096945926     -0.12093053239     0.346478780815   -0.388990122711    0.120416274692   -0.119077473356         0.0              0.0              0.0              0.0         0.114202309808   -0.114392613729    0.737970421938  -0.793227873163  -0.805481544523   0.763484908832         0.0                 0.0                 0.0                 0.0          -0.0972888474592   0.052677622843          0.0                0.0                0.0                0.0                0.0                 0.0            0.0584964573325      -0.0593324005714    -0.129513975358      0.114063331701    -0.00712416744059    0.00422445364962   1.69560685232  -1.88070386705    0.91057501389      -0.982757363582  
    0       0.0      0.5      220.0      272.0       184.73600572    0.333050440544    1.0        0.05       -0.10005     2.6    0.779381653196  -0.685900133477     1.34197117975        -1.14169860903      0.821801170406    -0.689405967132         0.0               0.0          2.27955753106     -2.03494600591    0.00742899811215   0.0132871254674     0.368717617398    -0.28178794066    0.10792235182    -0.0962309592689        0.0              0.0              0.0              0.0        0.0891126343703   -0.0869584339653   0.903623075915  -0.792793436033  -0.620880146796   0.655183821896         0.0                 0.0                 0.0                 0.0           0.20787965924     -0.14942701486          0.0                0.0                0.0                0.0                0.0                 0.0             0.104187089078      -0.100114504614     0.00392960200976     0.013024261063     0.0134656680708    -0.00429242296016   2.10059278876  -1.81861199991    0.910407529289     -0.807517790954  
    0       0.0      0.5      272.0      330.0      61.1885549997    0.274270480277    1.0        0.0          -0.0       2.6    0.842559261081  -0.861656260216     1.27846782156        -1.25080202252      0.759679814252    -0.731434289572         0.0               0.0          1.90296316763     -1.81360939297    -0.0390477044828   0.0329213490811     0.323115218358   -0.347079151279    0.119112291754   -0.117526369141         0.0              0.0              0.0              0.0        -0.0409120176001  0.0492511932773    0.881279891169  -0.867913350771  -0.435299988172   0.44792524407          0.0                 0.0                 0.0                 0.0          0.0604716539834   -0.098942026755          0.0                0.0                0.0                0.0                0.0                 0.0            0.0846336291122      -0.0788432410643    0.0589219534049     -0.0642209626292    -0.0328928598382    0.0318674373507    2.03477101456  -2.09013096968    0.715392150385     -0.687922641918  
    0       0.0      0.5      330.0      395.0      21.6423507083    0.206603853774    1.0        0.0          -0.0       2.6    0.729614682024  -0.676931967149      1.2893090573        -1.27287059951      0.768157135531    -0.793889072258         0.0               0.0          1.67399342117     -1.65042615217     -0.1107308454      0.108969779593     0.161766352272   -0.154432921913   0.0574796764282   -0.0618012510448        0.0              0.0              0.0              0.0        0.0647573693819   -0.0722751706366   0.879425710823  -0.896844910552  -0.268654806343   0.286535625691         0.0                 0.0                 0.0                 0.0           0.28045097133    -0.254828821388          0.0                0.0                0.0                0.0                0.0                 0.0            0.0954642807638      -0.098533314946     0.0686481676833     -0.0699388253002     0.104975306986     -0.104225793444    2.20692903869  -2.14363280008    0.555023189193     -0.569771082412  
    0       0.0      0.5      395.0      468.0      8.12601808784    0.175713487174    1.0        0.0          -0.0       2.6    0.568275074296  -0.541421446702     1.32110519887        -1.31298484447      0.806108799112    -0.799430235949         0.0               0.0          1.40027060388     -1.36312663549    -0.0934995347043    0.100648395024     0.255437778998   -0.260307954329    0.108526411064   -0.104316324822         0.0              0.0              0.0              0.0        -0.0437032901666  0.0438239932019    0.979060554923  -0.963566370751  -0.104148073508  0.0630465170233         0.0                 0.0                 0.0                 0.0           0.203189328877   -0.221341929979          0.0                0.0                0.0                0.0                0.0                 0.0            0.0873255896743      -0.0906438003936     0.174445829106      -0.16900296216     0.0407996335581     -0.0473332961317   2.26874551879  -2.2617472563     0.482991933373     -0.473393031195  
    0       0.0      0.5      468.0      548.0      3.12499661389    0.150153504332    1.0     -0.1007555      -0.0       2.6    0.651035470197  -0.610521244644     1.34795040427        -1.32520920518      0.797647449946    -0.789634868352         0.0               0.0          1.15678766321     -1.14151629494    -0.272939068956     0.264174331581     0.117573045173   -0.114459137777   -0.0195412337594  0.0135109072507         0.0              0.0              0.0              0.0        -0.0485419988161  0.0509962180386    0.929886199265  -0.926489874379   0.12048425072   -0.091811885445         0.0                 0.0                 0.0                 0.0           0.393566044826   -0.384475980682          0.0                0.0                0.0                0.0                0.0                 0.0            0.0950277133248      -0.0872890866208     0.115668863621      -0.12104673855      0.10907862123      -0.0959848036145   2.32581787295  -2.30556174379    0.363847029179      -0.38388919841  
